epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.5274,1.40479,2.91638,4.00726,1.48628,0.77342,0.13033,0.13961,0.10048,0.64265,0.14439,0.14296,0.09578,1.10175,2.13725,2.5485,1.26055,0.00012271,0.00012271,0.00012271
2,132.604,1.25314,2.19176,2.61205,1.33138,0.46821,0.46044,0.33622,0.24415,0.47007,0.46122,0.33902,0.2299,0.97878,1.71781,1.5143,1.18086,0.000237924,0.000237924,0.000237924
3,192.936,1.14049,1.95733,1.85684,1.24464,0.38124,0.59298,0.43462,0.32074,0.38425,0.58783,0.44194,0.30535,0.91413,1.67558,1.30037,1.11761,0.000344998,0.000344998,0.000344998
4,252.972,1.07452,1.83085,1.58727,1.20147,0.43526,0.6397,0.50212,0.38054,0.43658,0.64225,0.5039,0.36045,0.84336,1.4678,1.061,1.06797,0.00033337,0.00033337,0.00033337
5,312.579,1.04004,1.75034,1.45205,1.18001,0.49979,0.66263,0.57301,0.43892,0.49722,0.65648,0.57221,0.41885,0.80752,1.37313,0.93015,1.0443,0.00032116,0.00032116,0.00032116
6,372.461,1.00333,1.65885,1.35147,1.1566,0.52522,0.67538,0.57455,0.43721,0.51402,0.66693,0.56582,0.42188,0.77828,1.33936,0.88869,1.02022,0.00030895,0.00030895,0.00030895
7,437.58,0.96771,1.6077,1.2742,1.13967,0.522,0.75937,0.63613,0.49851,0.52976,0.7467,0.63399,0.478,0.76513,1.3093,0.83273,1.01192,0.00029674,0.00029674,0.00029674
8,498.23,0.95327,1.56633,1.22878,1.13064,0.56868,0.72837,0.6417,0.51229,0.57912,0.73397,0.64944,0.48843,0.74472,1.30524,0.81407,1.00634,0.00028453,0.00028453,0.00028453
9,557.955,0.93701,1.51794,1.1636,1.11871,0.54972,0.70852,0.62475,0.49159,0.55462,0.71046,0.62371,0.47221,0.741,1.24944,0.79639,0.99593,0.00027232,0.00027232,0.00027232
10,617.733,0.91847,1.49468,1.13979,1.10636,0.46993,0.65639,0.53221,0.42587,0.47723,0.65173,0.53575,0.40852,0.70985,1.26821,0.87743,0.98169,0.00026011,0.00026011,0.00026011
11,677.402,0.90753,1.46192,1.10182,1.10024,0.5207,0.69899,0.60439,0.48436,0.52595,0.7067,0.60352,0.46151,0.71632,1.20933,0.8448,0.98732,0.0002479,0.0002479,0.0002479
12,737.041,0.88843,1.42915,1.06517,1.09039,0.57428,0.76169,0.66128,0.53087,0.57183,0.76285,0.66118,0.51063,0.70872,1.16518,0.73424,0.98025,0.00023569,0.00023569,0.00023569
13,796.899,0.87883,1.4077,1.03869,1.08389,0.51638,0.65817,0.57868,0.46544,0.51565,0.65599,0.57697,0.44481,0.70029,1.20352,0.83851,0.98177,0.00022348,0.00022348,0.00022348
14,856.436,0.86815,1.38157,1.00909,1.07735,0.61979,0.76218,0.67787,0.55283,0.61911,0.76771,0.67782,0.52726,0.67916,1.15571,0.66888,0.96393,0.00021127,0.00021127,0.00021127
15,916.055,0.85834,1.35019,0.99466,1.07499,0.5577,0.75981,0.63824,0.5174,0.56072,0.78252,0.64034,0.50068,0.68331,1.13512,0.71906,0.96486,0.00019906,0.00019906,0.00019906
16,975.613,0.85253,1.33664,0.97031,1.06793,0.53128,0.68608,0.60161,0.48931,0.53584,0.6854,0.60463,0.47239,0.67178,1.15011,0.79727,0.95583,0.00018685,0.00018685,0.00018685
17,1035.12,0.83509,1.30926,0.94015,1.06259,0.53887,0.79663,0.65344,0.53133,0.54227,0.78604,0.65266,0.51259,0.66009,1.11346,0.68897,0.94932,0.00017464,0.00017464,0.00017464
18,1094.58,0.82394,1.29035,0.92663,1.05467,0.55162,0.74587,0.63027,0.51643,0.55321,0.74616,0.63335,0.49814,0.65509,1.10419,0.70039,0.94872,0.00016243,0.00016243,0.00016243
19,1154.29,0.82387,1.27621,0.91253,1.05721,0.60276,0.80745,0.69988,0.58106,0.60302,0.80516,0.7014,0.55209,0.64226,1.09135,0.6269,0.94448,0.00015022,0.00015022,0.00015022
